names,embedding0,embedding1,embedding2,embedding3,embedding4,embedding5,embedding6,embedding7,embedding8,embedding9
Mindustry,0.011029411764705883,0.034926470588235295,0.22426470588235295,0.003676470588235294,0.1636029411764706,0.36213235294117646,0.001838235294117647,0.007352941176470588,0.14522058823529413,0.04595588235294118
Our Life: Beginnings & Always,0.07628524046434494,0.17412935323383086,0.0845771144278607,0.439469320066335,0.001658374792703151,0.01658374792703151,0.003316749585406302,0.014925373134328358,0.15920398009950248,0.029850746268656716
The Binding of Isaac,0.1468189233278956,0.0016313213703099511,0.004893964110929853,0.1272430668841762,0.040783034257748776,0.2544861337683524,0.009787928221859706,0.026101141924959218,0.2561174551386623,0.13213703099510604
Monster Prom 2: Monster Camp,0.0011148272017837235,0.19286510590858416,0.22073578595317725,0.006688963210702341,0.06465997770345597,0.0379041248606466,0.007803790412486065,0.29654403567447046,0.02564102564102564,0.14604236343366778
Senren＊Banka,0.07105263157894737,0.14736842105263157,0.15263157894736842,0.04473684210526316,0.3526315789473684,0.018421052631578946,0.002631578947368421,0.06315789473684211,0.13421052631578947,0.013157894736842105
OMORI,0.06743185078909612,0.15351506456241032,0.00860832137733142,0.321377331420373,0.011477761836441894,0.043041606886657105,0.03873744619799139,0.15494978479196556,0.15208034433285508,0.04878048780487805
Grimm's Hollow,0.15597667638483964,0.20845481049562684,0.037900874635568516,0.007288629737609329,0.008746355685131196,0.12244897959183673,0.0728862973760933,0.15743440233236153,0.021865889212827987,0.20699708454810495
The Supper,0.16810344827586207,0.008620689655172414,0.01293103448275862,0.06465517241379311,0.08189655172413793,0.03879310344827586,0.13793103448275862,0.15948275862068967,0.21551724137931033,0.11206896551724138
Star Fetchers,0.09649122807017543,0.07017543859649122,0.015350877192982455,0.3815789473684211,0.013157894736842105,0.021929824561403508,0.017543859649122806,0.041666666666666664,0.2850877192982456,0.05701754385964912
Resident Evil Village,0.014314928425357873,0.05930470347648262,0.08384458077709611,0.05112474437627812,0.06748466257668712,0.006134969325153374,0.0408997955010225,0.10633946830265849,0.5460122699386503,0.024539877300613498
Marco & The Galaxy Dragon,0.09387755102040816,0.04081632653061224,0.07346938775510205,0.17959183673469387,0.1306122448979592,0.004081632653061225,0.024489795918367346,0.21224489795918366,0.22040816326530613,0.02040816326530612
ULTRAKILL,0.1350164654226125,0.0043907793633369925,0.1394072447859495,0.19209659714599342,0.07354555433589462,0.03402854006586169,0.19099890230515917,0.1163556531284303,0.05159165751920966,0.06256860592755215
ATRI -My Dear Moments-,0.13793103448275862,0.011494252873563218,0.02681992337164751,0.10344827586206896,0.06513409961685823,0.21455938697318008,0.2222222222222222,0.19540229885057472,0.019157088122605363,0.0038314176245210726
Yakuza: Like a Dragon,0.012658227848101266,0.05569620253164557,0.25316455696202533,0.006329113924050633,0.02278481012658228,0.25443037974683547,0.12151898734177215,0.06582278481012659,0.03417721518987342,0.17341772151898735
Titanfall® 2,0.08068902991840435,0.11604714415231188,0.18313689936536717,0.09066183136899365,0.14324569356300998,0.051677243880326386,0.2456935630099728,0.03989120580235721,0.02901178603807797,0.019945602901178604
There Is No Game: Wrong Dimension,0.2646657571623465,0.2305593451568895,0.017735334242837655,0.0791268758526603,0.1432469304229195,0.03137789904502047,0.0068212824010914054,0.021828103683492497,0.19918144611186903,0.005457025920873124
There Is No Game: Jam Edition 2015,0.010416666666666666,0.203125,0.015625,0.052083333333333336,0.09895833333333333,0.09375,0.19270833333333334,0.06770833333333333,0.2604166666666667,0.005208333333333333
Killing Floor,0.2070393374741201,0.028985507246376812,0.14078674948240166,0.07867494824016563,0.010351966873706004,0.4658385093167702,0.002070393374741201,0.022774327122153208,0.037267080745341616,0.006211180124223602
Portal Reloaded,0.11379310344827587,0.10689655172413794,0.010344827586206896,0.03793103448275862,0.47586206896551725,0.034482758620689655,0.027586206896551724,0.1,0.017241379310344827,0.07586206896551724
pureya,0.0440251572327044,0.019916142557651992,0.12054507337526206,0.01781970649895178,0.129979035639413,0.1750524109014675,0.2851153039832285,0.15513626834381553,0.027253668763102725,0.025157232704402517
Riddle Joker,0.0920353982300885,0.35929203539823007,0.2991150442477876,0.06017699115044248,0.01415929203539823,0.03185840707964602,0.005309734513274336,0.05132743362831858,0.08495575221238938,0.0017699115044247787
Samsara Room,0.043333333333333335,0.12333333333333334,0.0033333333333333335,0.11,0.05,0.02666666666666667,0.16666666666666666,0.023333333333333334,0.43333333333333335,0.02
tModLoader,0.020338983050847456,0.06440677966101695,0.0847457627118644,0.003389830508474576,0.01694915254237288,0.15593220338983052,0.07457627118644068,0.14576271186440679,0.39661016949152544,0.03728813559322034
Post Void,0.11511511511511512,0.06906906906906907,0.01901901901901902,0.08608608608608609,0.044044044044044044,0.04704704704704705,0.05305305305305305,0.16616616616616617,0.12712712712712712,0.2732732732732733
Firework,0.09952978056426333,0.041536050156739814,0.16065830721003135,0.02821316614420063,0.13871473354231975,0.012539184952978056,0.13244514106583072,0.07210031347962383,0.1590909090909091,0.15517241379310345
Helltaker,0.038461538461538464,0.11538461538461539,0.00641025641025641,0.023504273504273504,0.11965811965811966,0.021367521367521368,0.2329059829059829,0.15384615384615385,0.21153846153846154,0.07692307692307693
PowerWash Simulator,0.13447432762836187,0.1198044009779951,0.0024449877750611247,0.11491442542787286,0.10268948655256724,0.16381418092909536,0.034229828850855744,0.2371638141809291,0.019559902200488997,0.07090464547677261
Townscaper,0.05979643765903308,0.001272264631043257,0.021628498727735368,0.029262086513994912,0.12849872773536897,0.2875318066157761,0.09287531806615776,0.3486005089058524,0.013994910941475827,0.01653944020356234
Cube Escape Collection,0.04054054054054054,0.0891891891891892,0.23513513513513515,0.20810810810810812,0.01891891891891892,0.021621621621621623,0.11081081081081082,0.002702702702702703,0.13783783783783785,0.13513513513513514
shapez.io,0.027522935779816515,0.07033639143730887,0.0061162079510703364,0.0856269113149847,0.2415902140672783,0.01834862385321101,0.2782874617737003,0.039755351681957186,0.0030581039755351682,0.22935779816513763
The Room 4: Old Sins,0.11178247734138973,0.021148036253776436,0.045317220543806644,0.45317220543806647,0.0030211480362537764,0.09063444108761329,0.04229607250755287,0.20241691842900303,0.006042296072507553,0.02416918429003021
Dyson Sphere Program,0.2029197080291971,0.030656934306569343,0.33138686131386863,0.00145985401459854,0.09781021897810219,0.06569343065693431,0.07153284671532846,0.00291970802919708,0.017518248175182483,0.1781021897810219
Virtual Cottage,0.010273972602739725,0.06678082191780822,0.1815068493150685,0.0017123287671232876,0.1678082191780822,0.3287671232876712,0.003424657534246575,0.008561643835616438,0.2054794520547945,0.025684931506849314
NEKOPARA Vol. 4,0.2057142857142857,0.025714285714285714,0.16,0.017142857142857144,0.13428571428571429,0.008571428571428572,0.05142857142857143,0.22,0.17142857142857143,0.005714285714285714
Tiny Bunny,0.026578073089700997,0.006644518272425249,0.1461794019933555,0.10631229235880399,0.16279069767441862,0.1362126245847176,0.10963455149501661,0.016611295681063124,0.08970099667774087,0.19933554817275748
It Takes Two,0.08483290488431877,0.055269922879177376,0.11311053984575835,0.2930591259640103,0.033419023136246784,0.005141388174807198,0.10796915167095116,0.010282776349614395,0.038560411311053984,0.2583547557840617
Maitetsu:Last Run!!,0.12735849056603774,0.007075471698113208,0.08490566037735849,0.06367924528301887,0.04009433962264151,0.01650943396226415,0.12264150943396226,0.0023584905660377358,0.4669811320754717,0.06839622641509434
Dorfromantik,0.06225165562913907,0.08874172185430464,0.05562913907284768,0.010596026490066225,0.29403973509933773,0.0013245033112582781,0.09933774834437085,0.10198675496688742,0.1456953642384106,0.1403973509933775
SuchArt: Creative Space,0.011658031088082901,0.0025906735751295338,0.2979274611398964,0.10233160621761658,0.08678756476683938,0.23186528497409326,0.07124352331606218,0.009067357512953367,0.12694300518134716,0.05958549222797927
Word Game: Episode 0,0.027496382054992764,0.1085383502170767,0.15340086830680175,0.010130246020260492,0.3357452966714906,0.2301013024602026,0.001447178002894356,0.07380607814761216,0.002894356005788712,0.056439942112879886
Aventura Copilului Albastru și Urât,0.11428571428571428,0.023376623376623377,0.15584415584415584,0.08311688311688312,0.2571428571428571,0.13506493506493505,0.04935064935064935,0.025974025974025976,0.07012987012987013,0.08571428571428572
Gorilla Tag,0.010922330097087379,0.08131067961165049,0.33859223300970875,0.05946601941747573,0.01820388349514563,0.09101941747572816,0.012135922330097087,0.23179611650485438,0.07402912621359223,0.0825242718446602
Muck,0.014846235418875928,0.08483563096500531,0.012725344644750796,0.07104984093319194,0.016967126193001062,0.04984093319194061,0.29692470837751855,0.036055143160127257,0.2142099681866384,0.20254506892895016
Batman: Arkham City - Game of the Year Edition,0.008939974457215836,0.20561941251596424,0.010217113665389528,0.0842911877394636,0.20689655172413793,0.0970625798212005,0.22988505747126436,0.10600255427841634,0.035759897828863345,0.01532567049808429
Tomb Raider,0.07612456747404844,0.00922722029988466,0.02768166089965398,0.09457900807381776,0.014994232987312572,0.18685121107266436,0.040369088811995385,0.01845444059976932,0.32410611303344866,0.20761245674740483
Castle Crashers®,0.013953488372093023,0.04186046511627907,0.037209302325581395,0.20465116279069767,0.020930232558139535,0.17674418604651163,0.011627906976744186,0.17209302325581396,0.07906976744186046,0.24186046511627907
Gunpoint,0.04475703324808184,0.00639386189258312,0.01278772378516624,0.0639386189258312,0.36061381074168797,0.159846547314578,0.29923273657289,0.008951406649616368,0.0038363171355498722,0.03964194373401535
To the Moon,0.1039426523297491,0.08960573476702509,0.010752688172043012,0.017921146953405017,0.3046594982078853,0.09498207885304659,0.03046594982078853,0.2849462365591398,0.016129032258064516,0.04659498207885305
The Walking Dead,0.0989010989010989,0.01098901098901099,0.17994505494505494,0.21978021978021978,0.09615384615384616,0.034340659340659344,0.24862637362637363,0.04395604395604396,0.005494505494505495,0.061813186813186816
FTL: Faster Than Light,0.018315018315018316,0.02197802197802198,0.08424908424908426,0.2857142857142857,0.09157509157509157,0.01098901098901099,0.0695970695970696,0.05860805860805861,0.029304029304029304,0.32967032967032966
South Park™: The Stick of Truth™,0.21413721413721415,0.05405405405405406,0.2151767151767152,0.02079002079002079,0.007276507276507277,0.035343035343035345,0.13721413721413722,0.13825363825363826,0.06548856548856549,0.11226611226611227
Dishonored,0.18067226890756302,0.0070028011204481795,0.004201680672268907,0.14565826330532214,0.04481792717086835,0.2507002801120448,0.022408963585434174,0.24789915966386555,0.04061624649859944,0.056022408963585436
Hotline Miami,0.0780559646539028,0.016200294550810016,0.0014727540500736377,0.19145802650957292,0.035346097201767304,0.008836524300441826,0.011782032400589101,0.1325478645066274,0.3475699558173785,0.17673048600883653
Half-Life 2,0.014760147601476014,0.11623616236162361,0.32287822878228783,0.11254612546125461,0.28044280442804426,0.00922509225092251,0.027675276752767528,0.023985239852398525,0.02214022140221402,0.07011070110701106
Age of Empires II (2013),0.09065550906555091,0.2900976290097629,0.030683403068340307,0.1589958158995816,0.06415620641562064,0.20362622036262204,0.008368200836820083,0.14365411436541142,0.005578800557880056,0.0041841004184100415
Super Hexagon,0.09689922480620156,0.15503875968992248,0.007751937984496124,0.26356589147286824,0.060723514211886306,0.011627906976744186,0.059431524547803614,0.09819121447028424,0.016795865633074936,0.22997416020671835
The Elder Scrolls IV: Oblivion® Game of the Year Edition,0.18323863636363635,0.19318181818181818,0.009943181818181818,0.011363636363636364,0.03977272727272727,0.13352272727272727,0.056818181818181816,0.14772727272727273,0.06392045454545454,0.16051136363636365
POSTAL 2,0.061068702290076333,0.05534351145038168,0.007633587786259542,0.3301526717557252,0.0019083969465648854,0.04580152671755725,0.07633587786259542,0.022900763358778626,0.0057251908396946565,0.3931297709923664
